Image,Mask
E:\MedicalData\TNSCUI2020\segmentation\augtrain/image/0_1.bmp,E:\MedicalData\TNSCUI2020\segmentation\augtrain/mask/0_1.bmp
E:\MedicalData\TNSCUI2020\segmentation\augtrain/image/0_2.bmp,E:\MedicalData\TNSCUI2020\segmentation\augtrain/mask/0_2.bmp
E:\MedicalData\TNSCUI2020\segmentation\augtrain/image/0_3.bmp,E:\MedicalData\TNSCUI2020\segmentation\augtrain/mask/0_3.bmp
E:\MedicalData\TNSCUI2020\segmentation\augtrain/image/0_4.bmp,E:\MedicalData\TNSCUI2020\segmentation\augtrain/mask/0_4.bmp
E:\MedicalData\TNSCUI2020\segmentation\augtrain/image/1000_1.bmp,E:\MedicalData\TNSCUI2020\segmentation\augtrain/mask/1000_1.bmp
E:\MedicalData\TNSCUI2020\segmentation\augtrain/image/1000_2.bmp,E:\MedicalData\TNSCUI2020\segmentation\augtrain/mask/1000_2.bmp
E:\MedicalData\TNSCUI2020\segmentation\augtrain/image/1000_3.bmp,E:\MedicalData\TNSCUI2020\segmentation\augtrain/mask/1000_3.bmp
E:\MedicalData\TNSCUI2020\segmentation\augtrain/image/1000_4.bmp,E:\MedicalData\TNSCUI2020\segmentation\augtrain/mask/1000_4.bmp
E:\MedicalData\TNSCUI2020\segmentation\augtrain/image/1001_1.bmp,E:\MedicalData\TNSCUI2020\segmentation\augtrain/mask/1001_1.bmp
E:\MedicalData\TNSCUI2020\segmentation\augtrain/image/1001_2.bmp,E:\MedicalData\TNSCUI2020\segmentation\augtrain/mask/1001_2.bmp
E:\MedicalData\TNSCUI2020\segmentation\augtrain/image/1001_3.bmp,E:\MedicalData\TNSCUI2020\segmentation\augtrain/mask/1001_3.bmp
E:\MedicalData\TNSCUI2020\segmentation\augtrain/image/1001_4.bmp,E:\MedicalData\TNSCUI2020\segmentation\augtrain/mask/1001_4.bmp
E:\MedicalData\TNSCUI2020\segmentation\augtrain/image/1002_1.bmp,E:\MedicalData\TNSCUI2020\segmentation\augtrain/mask/1002_1.bmp
E:\MedicalData\TNSCUI2020\segmentation\augtrain/image/1002_2.bmp,E:\MedicalData\TNSCUI2020\segmentation\augtrain/mask/1002_2.bmp
E:\MedicalData\TNSCUI2020\segmentation\augtrain/image/1002_3.bmp,E:\MedicalData\TNSCUI2020\segmentation\augtrain/mask/1002_3.bmp
E:\MedicalData\TNSCUI2020\segmentation\augtrain/image/1002_4.bmp,E:\MedicalData\TNSCUI2020\segmentation\augtrain/mask/1002_4.bmp
E:\MedicalData\TNSCUI2020\segmentation\augtrain/image/1003_1.bmp,E:\MedicalData\TNSCUI2020\segmentation\augtrain/mask/1003_1.bmp
