Image,Mask
E:\MedicalData\TNSCUI2020\TNSCUI2020_train/image/100.PNG,E:\MedicalData\TNSCUI2020\TNSCUI2020_train/mask/100.PNG
E:\MedicalData\TNSCUI2020\TNSCUI2020_train/image/1002.PNG,E:\MedicalData\TNSCUI2020\TNSCUI2020_train/mask/1002.PNG
E:\MedicalData\TNSCUI2020\TNSCUI2020_train/image/1004.PNG,E:\MedicalData\TNSCUI2020\TNSCUI2020_train/mask/1004.PNG
E:\MedicalData\TNSCUI2020\TNSCUI2020_train/image/1010.PNG,E:\MedicalData\TNSCUI2020\TNSCUI2020_train/mask/1010.PNG
E:\MedicalData\TNSCUI2020\TNSCUI2020_train/image/1012.PNG,E:\MedicalData\TNSCUI2020\TNSCUI2020_train/mask/1012.PNG
E:\MedicalData\TNSCUI2020\TNSCUI2020_train/image/102.PNG,E:\MedicalData\TNSCUI2020\TNSCUI2020_train/mask/102.PNG
E:\MedicalData\TNSCUI2020\TNSCUI2020_train/image/1020.PNG,E:\MedicalData\TNSCUI2020\TNSCUI2020_train/mask/1020.PNG
E:\MedicalData\TNSCUI2020\TNSCUI2020_train/image/1024.PNG,E:\MedicalData\TNSCUI2020\TNSCUI2020_train/mask/1024.PNG
E:\MedicalData\TNSCUI2020\TNSCUI2020_train/image/1026.PNG,E:\MedicalData\TNSCUI2020\TNSCUI2020_train/mask/1026.PNG
E:\MedicalData\TNSCUI2020\TNSCUI2020_train/image/1029.PNG,E:\MedicalData\TNSCUI2020\TNSCUI2020_train/mask/1029.PNG
E:\MedicalData\TNSCUI2020\TNSCUI2020_train/image/103.PNG,E:\MedicalData\TNSCUI2020\TNSCUI2020_train/mask/103.PNG
E:\MedicalData\TNSCUI2020\TNSCUI2020_train/image/1031.PNG,E:\MedicalData\TNSCUI2020\TNSCUI2020_train/mask/1031.PNG
E:\MedicalData\TNSCUI2020\TNSCUI2020_train/image/1033.PNG,E:\MedicalData\TNSCUI2020\TNSCUI2020_train/mask/1033.PNG
E:\MedicalData\TNSCUI2020\TNSCUI2020_train/image/1034.PNG,E:\MedicalData\TNSCUI2020\TNSCUI2020_train/mask/1034.PNG
E:\MedicalData\TNSCUI2020\TNSCUI2020_train/image/1036.PNG,E:\MedicalData\TNSCUI2020\TNSCUI2020_train/mask/1036.PNG
E:\MedicalData\TNSCUI2020\TNSCUI2020_train/image/1038.PNG,E:\MedicalData\TNSCUI2020\TNSCUI2020_train/mask/1038.PNG
